datetime,Symbol,Open,High,Low,Close,Volume
2026-01-13 09:30:00,BINANCE:BTCUSD,91349.49,91503.6,91328.7,91328.7,0.01298
2026-01-13 10:30:00,BINANCE:BTCUSD,91471.68,92026.34,91471.68,91993.57,0.06466
2026-01-13 11:30:00,BINANCE:BTCUSD,91965.51,92159.96,91865.12,92159.96,0.02903
2026-01-13 12:30:00,BINANCE:BTCUSD,92040.08,92069.08,91819.55,91838.88,0.01427
2026-01-13 13:30:00,BINANCE:BTCUSD,91878.58,92134.52,91874.35,92134.52,0.00221
2026-01-13 14:30:00,BINANCE:BTCUSD,92080.57,92566.52,91895.33,92115.5,0.02024
2026-01-13 15:30:00,BINANCE:BTCUSD,92205.33,92260.6,91967.45,92113.66,0.1194
2026-01-13 16:30:00,BINANCE:BTCUSD,92053.43,92176.25,91945.24,91989.03,0.02496
2026-01-13 17:30:00,BINANCE:BTCUSD,91960.41,92093.58,91857.58,92014.6,0.01517
2026-01-13 18:30:00,BINANCE:BTCUSD,91969.8,92478.1,91945.8,92138.88,0.13449
2026-01-13 19:30:00,BINANCE:BTCUSD,91868.82,92802.17,91794.87,92474.55,0.06399
2026-01-13 20:30:00,BINANCE:BTCUSD,92267.67,93344.43,92083.08,93316.89,0.21251
2026-01-13 21:30:00,BINANCE:BTCUSD,93365.66,93665.36,93026.06,93307.31,0.4362
2026-01-13 22:30:00,BINANCE:BTCUSD,93375.74,93420.68,93063.51,93195.78,0.07915
2026-01-13 23:30:00,BINANCE:BTCUSD,93472.28,93745.01,93331.36,93565.26,0.03605
2026-01-14 00:30:00,BINANCE:BTCUSD,93529.68,94037.65,93455.39,94037.65,0.15454
2026-01-14 01:30:00,BINANCE:BTCUSD,94152.01,94396.4,94094.54,94396.39,0.08324
2026-01-14 02:30:00,BINANCE:BTCUSD,94396.39,94438.06,94063.92,94063.92,0.01146
2026-01-14 03:30:00,BINANCE:BTCUSD,94217.85,96491.94,94217.85,95745.83,1.69358
2026-01-14 04:30:00,BINANCE:BTCUSD,95797.76,95986.32,95208.85,95383.64,0.09835
2026-01-14 05:30:00,BINANCE:BTCUSD,95372.84,95594.16,95130.86,95210.51,0.03765
2026-01-14 06:30:00,BINANCE:BTCUSD,95142.2,95521.48,95122.25,95259.98,0.16081
2026-01-14 07:30:00,BINANCE:BTCUSD,95281.43,95470.71,95281.43,95434.95,0.00869
2026-01-14 08:30:00,BINANCE:BTCUSD,95373.37,95550.91,95373.37,95550.91,0.00237
2026-01-14 09:30:00,BINANCE:BTCUSD,95450.0,95450.0,95246.0,95246.0,0.0008
2026-01-14 10:30:00,BINANCE:BTCUSD,95171.86,95211.09,94971.32,95005.69,0.00534
2026-01-14 11:30:00,BINANCE:BTCUSD,94971.32,94979.4,94637.23,94900.0,1.07981
2026-01-14 12:30:00,BINANCE:BTCUSD,94899.83,95201.02,94870.64,95201.02,0.02702
2026-01-14 13:30:00,BINANCE:BTCUSD,95236.5,95266.92,94847.82,94847.82,0.02553
2026-01-14 14:30:00,BINANCE:BTCUSD,95006.96,95245.09,94971.32,94971.32,0.05852
2026-01-14 15:30:00,BINANCE:BTCUSD,94971.32,95206.74,94949.5,95206.74,0.08182
2026-01-14 16:30:00,BINANCE:BTCUSD,94972.94,95000.98,94859.03,94863.08,0.02211
2026-01-14 17:30:00,BINANCE:BTCUSD,94668.26,95361.29,94668.26,95069.59,0.08078
2026-01-14 18:30:00,BINANCE:BTCUSD,94971.32,95223.82,94936.73,94995.54,0.04976
2026-01-14 19:30:00,BINANCE:BTCUSD,95123.0,96744.13,95123.0,96631.39,0.08359
2026-01-14 20:30:00,BINANCE:BTCUSD,96352.71,97015.11,96205.47,96586.99,0.11117
2026-01-14 21:30:00,BINANCE:BTCUSD,97050.92,97623.61,97050.92,97270.42,0.08654
2026-01-14 22:30:00,BINANCE:BTCUSD,97267.64,97900.0,96756.19,96971.67,0.17344
2026-01-14 23:30:00,BINANCE:BTCUSD,96910.88,97222.23,96302.07,97218.03,0.16279
2026-01-15 00:30:00,BINANCE:BTCUSD,96815.37,97472.27,96815.37,97302.19,0.0651
2026-01-15 01:30:00,BINANCE:BTCUSD,97276.74,97876.1,97276.74,97472.27,0.09308
2026-01-15 02:30:00,BINANCE:BTCUSD,97494.32,97620.91,97439.05,97462.18,0.03019
2026-01-15 03:30:00,BINANCE:BTCUSD,97449.84,97493.78,96877.46,96912.25,0.07519
2026-01-15 04:30:00,BINANCE:BTCUSD,96990.64,97286.06,96890.8,97038.53,0.08465
2026-01-15 05:30:00,BINANCE:BTCUSD,96910.88,96992.51,96602.07,96642.35,0.03317
2026-01-15 06:30:00,BINANCE:BTCUSD,96782.43,96782.43,96352.71,96352.71,0.008
2026-01-15 07:30:00,BINANCE:BTCUSD,96503.02,96503.02,96165.27,96226.1,0.02241
2026-01-15 08:30:00,BINANCE:BTCUSD,96074.83,96074.83,95936.2,95936.2,0.00552
2026-01-15 09:30:00,BINANCE:BTCUSD,96045.92,96316.62,96045.92,96302.3,0.0093
2026-01-15 10:30:00,BINANCE:BTCUSD,96398.79,96465.35,96293.29,96382.79,0.01686
2026-01-15 11:30:00,BINANCE:BTCUSD,96410.83,96531.32,96184.91,96305.6,0.01163
2026-01-15 12:30:00,BINANCE:BTCUSD,96208.16,96753.04,96208.16,96538.69,0.02653
2026-01-15 13:30:00,BINANCE:BTCUSD,96583.93,96585.13,96302.87,96585.13,0.05933
2026-01-15 14:30:00,BINANCE:BTCUSD,96616.22,97155.38,96576.96,97155.38,0.04144
2026-01-15 15:30:00,BINANCE:BTCUSD,97056.74,97057.38,96746.13,96830.54,0.15306
2026-01-15 16:30:00,BINANCE:BTCUSD,96855.06,96906.22,96486.18,96654.07,0.05942
2026-01-15 17:30:00,BINANCE:BTCUSD,96561.35,96921.81,96538.48,96912.49,0.04409
2026-01-15 18:30:00,BINANCE:BTCUSD,97007.61,97021.65,96634.85,96892.29,0.02965
2026-01-15 19:30:00,BINANCE:BTCUSD,96860.14,97121.52,95624.15,96026.32,0.10009
2026-01-15 20:30:00,BINANCE:BTCUSD,96234.64,96749.57,95469.69,96749.57,0.12778
2026-01-15 21:30:00,BINANCE:BTCUSD,96715.68,96910.88,96288.35,96803.75,0.05906
2026-01-15 22:30:00,BINANCE:BTCUSD,96746.26,97071.16,96442.5,96634.07,0.13986
2026-01-15 23:30:00,BINANCE:BTCUSD,96568.88,96625.39,95756.92,95879.79,0.54552
2026-01-16 00:30:00,BINANCE:BTCUSD,95816.32,95900.0,95237.0,95487.71,0.82226
2026-01-16 01:30:00,BINANCE:BTCUSD,95663.72,95663.72,95206.08,95206.08,0.04173
2026-01-16 02:30:00,BINANCE:BTCUSD,95170.75,95629.88,95163.43,95629.88,0.01555
2026-01-16 03:30:00,BINANCE:BTCUSD,95720.71,95839.72,95503.0,95723.88,0.00717
2026-01-16 04:30:00,BINANCE:BTCUSD,95533.7,95700.65,95409.71,95551.77,0.01105
2026-01-16 05:30:00,BINANCE:BTCUSD,95635.07,95776.84,95635.07,95775.93,0.00669
2026-01-16 06:30:00,BINANCE:BTCUSD,95489.27,95797.76,95450.0,95681.01,0.00992
2026-01-16 07:30:00,BINANCE:BTCUSD,95517.15,95624.47,95425.99,95449.27,0.01243
2026-01-16 08:30:00,BINANCE:BTCUSD,95548.06,95576.94,95439.55,95467.03,0.01195
2026-01-16 09:30:00,BINANCE:BTCUSD,95359.23,95550.18,95179.62,95220.48,0.0252
2026-01-16 10:30:00,BINANCE:BTCUSD,95383.64,95521.48,95310.0,95521.48,0.00496
2026-01-16 11:30:00,BINANCE:BTCUSD,95748.36,95748.36,95723.51,95744.01,0.01152
2026-01-16 12:30:00,BINANCE:BTCUSD,95744.01,95744.01,95520.77,95676.8,0.04261
2026-01-16 13:30:00,BINANCE:BTCUSD,95628.65,95857.74,95628.65,95732.78,0.02649
2026-01-16 14:30:00,BINANCE:BTCUSD,95668.07,95768.26,95608.62,95674.22,0.08954
2026-01-16 15:30:00,BINANCE:BTCUSD,95536.08,95536.08,95301.47,95434.82,0.00902
2026-01-16 16:30:00,BINANCE:BTCUSD,95323.26,95408.12,95295.66,95408.12,0.01107
2026-01-16 17:30:00,BINANCE:BTCUSD,95472.71,95531.39,95394.67,95394.67,0.01533
2026-01-16 18:30:00,BINANCE:BTCUSD,95402.4,95536.09,95327.49,95377.87,0.00341
2026-01-16 19:30:00,BINANCE:BTCUSD,95428.89,95662.11,95246.0,95246.0,0.09798
2026-01-16 20:30:00,BINANCE:BTCUSD,95227.26,95607.33,94274.95,94607.15,0.1886
2026-01-16 21:30:00,BINANCE:BTCUSD,94697.43,94980.59,94695.9,94800.3,0.03833
2026-01-16 22:30:00,BINANCE:BTCUSD,94862.44,95000.0,94584.63,95000.0,0.02337
2026-01-16 23:30:00,BINANCE:BTCUSD,95107.12,95229.18,95077.74,95132.47,0.01756
2026-01-17 00:30:00,BINANCE:BTCUSD,94971.32,95016.19,94926.6,95016.19,0.02005
2026-01-17 01:30:00,BINANCE:BTCUSD,94989.26,95383.64,94742.52,95383.64,0.01165
2026-01-17 02:30:00,BINANCE:BTCUSD,95521.48,95564.22,95407.75,95535.61,0.07644
2026-01-17 03:30:00,BINANCE:BTCUSD,95477.85,95477.85,95303.12,95349.32,0.0358
2026-01-17 04:30:00,BINANCE:BTCUSD,95513.0,95571.0,95512.19,95512.19,0.00591
2026-01-17 05:30:00,BINANCE:BTCUSD,95553.99,95553.99,95496.84,95496.84,0.00166
2026-01-17 06:30:00,BINANCE:BTCUSD,95509.55,95509.55,95411.68,95411.68,0.07314
2026-01-17 07:30:00,BINANCE:BTCUSD,95259.34,95331.76,95246.0,95331.76,0.00494
2026-01-17 08:30:00,BINANCE:BTCUSD,95291.66,95291.66,95291.66,95291.66,0.0002
2026-01-17 09:30:00,BINANCE:BTCUSD,95307.38,95307.38,95279.16,95289.82,0.00047
2026-01-17 10:30:00,BINANCE:BTCUSD,95314.54,95314.54,95314.54,95314.54,0.00016
2026-01-17 11:30:00,BINANCE:BTCUSD,95304.06,95333.95,95245.87,95248.67,0.01312
2026-01-17 12:30:00,BINANCE:BTCUSD,95138.68,95155.95,95138.68,95155.95,0.00349
2026-01-17 13:30:00,BINANCE:BTCUSD,95156.9,95268.52,95156.9,95268.52,0.04562
2026-01-17 14:30:00,BINANCE:BTCUSD,95262.15,95262.15,95209.53,95262.15,0.01083
2026-01-17 15:30:00,BINANCE:BTCUSD,95251.75,95276.54,95145.07,95145.07,0.01975
2026-01-17 16:30:00,BINANCE:BTCUSD,95206.41,95332.74,95206.41,95265.18,0.0039
2026-01-17 17:30:00,BINANCE:BTCUSD,95265.18,95299.64,95262.31,95270.18,0.01872
2026-01-17 18:30:00,BINANCE:BTCUSD,95224.15,95435.99,95191.19,95391.3,0.02328
2026-01-17 19:30:00,BINANCE:BTCUSD,95391.3,95537.75,95346.13,95458.88,0.02854
2026-01-17 20:30:00,BINANCE:BTCUSD,95498.84,95609.94,95498.84,95511.56,0.02494
2026-01-17 21:30:00,BINANCE:BTCUSD,95508.5,95508.5,95267.13,95270.19,0.01762
2026-01-17 22:30:00,BINANCE:BTCUSD,95357.04,95405.66,95313.06,95313.06,0.02436
2026-01-17 23:30:00,BINANCE:BTCUSD,95378.02,95485.06,95378.02,95443.41,0.00237
2026-01-18 00:30:00,BINANCE:BTCUSD,95460.46,95720.76,95304.24,95304.24,0.07578
2026-01-18 01:30:00,BINANCE:BTCUSD,95310.44,95404.0,95268.02,95345.3,0.01172
2026-01-18 02:30:00,BINANCE:BTCUSD,95371.3,95396.9,95297.78,95325.49,0.01015
2026-01-18 03:30:00,BINANCE:BTCUSD,95326.84,95326.84,95082.57,95121.91,0.00331
2026-01-18 04:30:00,BINANCE:BTCUSD,95180.02,95185.93,95165.75,95168.83,0.00241
2026-01-18 05:30:00,BINANCE:BTCUSD,95262.03,95262.03,95118.67,95118.67,0.00243
2026-01-18 06:30:00,BINANCE:BTCUSD,95014.1,95014.1,94856.67,94921.45,0.02722
2026-01-18 07:30:00,BINANCE:BTCUSD,95027.2,95027.2,95027.2,95027.2,0.00015
2026-01-18 08:30:00,BINANCE:BTCUSD,95108.56,95108.56,95108.56,95108.56,7e-05
2026-01-18 09:30:00,BINANCE:BTCUSD,95108.35,95108.35,95082.77,95082.77,0.00243
2026-01-18 10:30:00,BINANCE:BTCUSD,95108.8,95108.8,95108.8,95108.8,0.00024
2026-01-18 11:30:00,BINANCE:BTCUSD,95187.03,95564.6,95148.59,95148.59,0.0675
2026-01-18 12:30:00,BINANCE:BTCUSD,95148.79,95148.79,95048.72,95050.01,0.00537
2026-01-18 13:30:00,BINANCE:BTCUSD,95126.68,95126.68,95126.68,95126.68,0.00632
2026-01-18 14:30:00,BINANCE:BTCUSD,95211.54,95262.55,95181.26,95257.68,0.01409
2026-01-18 15:30:00,BINANCE:BTCUSD,95263.62,95263.62,95108.56,95138.6,0.02804
